<inflicted , {input\big5.txt : 1}>
<influence , {input\big5.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<ingenious , {input\big5.txt : 1}>
<inhabited , {input\big5.txt : 1}>
<inn , {input\big5.txt : 2}>
<inquirer , {input\big5.txt : 1}>
<inquiries , {input\big5.txt : 2}>
<inquiry , {input\big5.txt : 1}{input\big1.txt : 2}{input\big3.txt : 2}>
<insists , {input\big5.txt : 1}>
<inspector , {input\big5.txt : 12}>
<inspiring , {input\big5.txt : 1}>
<inst , {input\big5.txt : 1}>
<instead , {input\big5.txt : 3}{input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 2}>
<instituted , {input\big5.txt : 1}>
<instruction , {input\big5.txt : 1}>
<intellectual , {input\big5.txt : 3}>
<intelligent , {input\big5.txt : 1}>
<intense , {input\big5.txt : 1}{input\big.txt : 1}>
<intensified , {input\big5.txt : 1}>
<interested , {input\big5.txt : 2}{input\big1.txt : 4}{input\big3.txt : 4}>
<interrupt , {input\big5.txt : 1}>
<intimate , {input\big5.txt : 1}>
<introduce , {input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<introduction , {input\big5.txt : 1}{input\big.txt : 2}>
<introspective , {input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<intuitions , {input\big5.txt : 1}>
<investigation , {input\big5.txt : 3}{input\big1.txt : 1}{input\big3.txt : 1}>
<investigations , {input\big5.txt : 1}>
<irene , {input\big5.txt : 1}{input\big1.txt : 9}{input\big3.txt : 13}>
<isnt , {input\big5.txt : 1}{input\big2.txt : 1}{input\big3.txt : 1}>
<issue , {input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<itself , {input\big5.txt : 2}{input\big2.txt : 1}{input\big1.txt : 2}{input\big3.txt : 3}{input\big.txt : 1}>
<ive , {input\big5.txt : 2}{input\big3.txt : 1}>
<ideas , {input\big2.txt : 1}{input\big3.txt : 1}>
<identical , {input\big2.txt : 2}>
<illness , {input\big2.txt : 1}>
<ilyin , {input\big2.txt : 13}>
<ilyins , {input\big2.txt : 1}>
<images , {input\big2.txt : 1}>
<incline , {input\big2.txt : 1}>
<incoherent , {input\big2.txt : 1}>
<inconsolable , {input\big2.txt : 1}>
<inform , {input\big2.txt : 1}>
<inquired , {input\big2.txt : 1}>
<intended , {input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<intently , {input\big2.txt : 1}>
<involuntarily , {input\big2.txt : 1}>
<ivanovich , {input\big2.txt : 3}>
<idler , {input\big1.txt : 1}{input\big3.txt : 1}>
<ii , {input\big1.txt : 1}{input\big3.txt : 2}>
<imitate , {input\big1.txt : 1}{input\big3.txt : 1}>
<imitated , {input\big1.txt : 1}{input\big3.txt : 1}>
<immediate , {input\big1.txt : 1}{input\big3.txt : 1}{input\big.txt : 1}>
<impatiently , {input\big1.txt : 1}{input\big3.txt : 1}>
<imperial , {input\big1.txt : 1}{input\big3.txt : 1}>
<implicates , {input\big1.txt : 1}{input\big3.txt : 1}>
<inches , {input\big1.txt : 1}{input\big3.txt : 2}>
<incisive , {input\big1.txt : 2}{input\big3.txt : 2}>
