<$100 , {input\big5.txt : 1}>
<$1000 , {input\big5.txt : 2}>
<$2 , {input\big5.txt : 2}>
<$25 , {input\big5.txt : 1}>
<$700 , {input\big5.txt : 1}>
<117 , {input\big5.txt : 2}>
<12s , {input\big5.txt : 1}>
<221b , {input\big5.txt : 1}>
<22nd , {input\big5.txt : 3}>
<249 , {input\big5.txt : 1}>
<26 , {input\big5.txt : 1}>
<26s , {input\big5.txt : 1}>
<4d , {input\big5.txt : 1}>
<6:30 , {input\big5.txt : 1}>
<6d , {input\big5.txt : 1}>
<7s , {input\big5.txt : 1}>
<83 , {input\big5.txt : 1}>
<a , {input\big5.txt : 365}>
<abandoned , {input\big5.txt : 1}>
<abandons , {input\big5.txt : 1}>
<able , {input\big5.txt : 2}>
<about , {input\big5.txt : 25}>
<above , {input\big5.txt : 1}>
<absolutely , {input\big5.txt : 3}>
<abstracted , {input\big5.txt : 2}>
<accept , {input\big5.txt : 1}>
<accident , {input\big5.txt : 1}>
<accompany , {input\big5.txt : 1}>
<account , {input\big5.txt : 3}>
<accounts , {input\big5.txt : 1}>
<accumulation , {input\big5.txt : 1}>
<accused , {input\big5.txt : 1}>
<accuser , {input\big5.txt : 1}>
<accustomed , {input\big5.txt : 1}>
<acquaintance , {input\big5.txt : 1}>
<acquired , {input\big5.txt : 1}>
<acquirement , {input\big5.txt : 1}>
<acres , {input\big5.txt : 2}>
<across , {input\big5.txt : 7}>
<act , {input\big5.txt : 1}>
<action , {input\big5.txt : 1}>
<actor , {input\big5.txt : 1}>
<adapt , {input\big5.txt : 1}>
<adapted , {input\big5.txt : 1}>
<added , {input\big5.txt : 1}>
<address , {input\big5.txt : 2}>
<adhesive , {input\big5.txt : 1}>
<adler , {input\big5.txt : 1}>
<admiring , {input\big5.txt : 1}>
<advance , {input\big5.txt : 1}>
<advantage , {input\big5.txt : 1}>
<advantages , {input\big5.txt : 1}>
<adventure , {input\big5.txt : 4}>
<adventures , {input\big5.txt : 1}>
<advertise , {input\big5.txt : 2}>
<advertisement , {input\big5.txt : 4}>
<advertising , {input\big5.txt : 1}>
<advice , {input\big5.txt : 1}>
<advise , {input\big5.txt : 1}>
<affection , {input\big5.txt : 1}>
<afford , {input\big5.txt : 1}>
<after , {input\big5.txt : 8}>
<afterwards , {input\big5.txt : 2}>
<again , {input\big5.txt : 3}>
<again; , {input\big5.txt : 1}>
<against , {input\big5.txt : 9}>
<age , {input\big5.txt : 1}>
<aged , {input\big5.txt : 2}>
<agency , {input\big5.txt : 1}>
<agitation , {input\big5.txt : 1}>
<ago , {input\big5.txt : 6}>
<agonies , {input\big5.txt : 1}>
<agree , {input\big5.txt : 1}>
<ah , {input\big5.txt : 8}>
<aid , {input\big5.txt : 3}>
<air , {input\big5.txt : 5}>
<akimbo , {input\big5.txt : 1}>
<alarm , {input\big5.txt : 2}>
<alas , {input\big5.txt : 1}>
<alias , {input\big5.txt : 1}>
<all , {input\big5.txt : 42}>
<allied , {input\big5.txt : 1}>
<allowed , {input\big5.txt : 2}>
<allows , {input\big5.txt : 1}>
<allude , {input\big5.txt : 1}>
<almost , {input\big5.txt : 2}>
<along , {input\big5.txt : 2}>
<alpha , {input\big5.txt : 7}>
<already , {input\big5.txt : 4}>
<also , {input\big5.txt : 11}>
<although , {input\big5.txt : 2}>
<always , {input\big5.txt : 9}>
<am , {input\big5.txt : 25}>
<amateur , {input\big5.txt : 1}>
<ambitious , {input\big5.txt : 1}>
<amid , {input\big5.txt : 5}>
<among , {input\big5.txt : 2}>
