<continued , {input\big2.txt : 1}>
<contrary , {input\big2.txt : 2}>
<convenient , {input\big2.txt : 1}>
<convinced , {input\big2.txt : 1}>
<corn , {input\big2.txt : 3}>
<correct , {input\big2.txt : 1}>
<could , {input\big2.txt : 18}>
<count , {input\big2.txt : 1}>
<courage , {input\big2.txt : 1}>
<cried , {input\big2.txt : 1}>
<crimea , {input\big2.txt : 1}>
<crosses , {input\big2.txt : 1}>
<crowd , {input\big2.txt : 14}>
<crowded , {input\big2.txt : 1}>
<crowed , {input\big2.txt : 1}>
<curiosity , {input\big2.txt : 2}>
<dangerous , {input\big2.txt : 2}>
<dare , {input\big2.txt : 1}>
<daughter , {input\big2.txt : 2}>
<day , {input\big2.txt : 4}>
<days , {input\big2.txt : 2}>
<dead , {input\big2.txt : 4}>
<dear , {input\big2.txt : 4}>
<death , {input\big2.txt : 3}>
<declared , {input\big2.txt : 1}>
<deep , {input\big2.txt : 2}>
<deeply , {input\big2.txt : 2}>
<definite , {input\big2.txt : 1}>
<demands , {input\big2.txt : 1}>
<departure , {input\big2.txt : 1}>
<depressed , {input\big2.txt : 1}>
<despite , {input\big2.txt : 1}>
<detail , {input\big2.txt : 2}>
<details , {input\big2.txt : 1}>
<devotion , {input\big2.txt : 2}>
<dewy , {input\big2.txt : 1}>
<did , {input\big2.txt : 6}>
<didnt , {input\big2.txt : 6}>
<die , {input\big2.txt : 1}>
<died , {input\big2.txt : 4}>
<different , {input\big2.txt : 2}>
<difficulties , {input\big2.txt : 1}>
<disaster , {input\big2.txt : 1}>
<discharge , {input\big2.txt : 2}>
<discharged , {input\big2.txt : 1}>
<dismounted , {input\big2.txt : 1}>
<dissuasions , {input\big2.txt : 1}>
<distance , {input\big2.txt : 2}>
<distinguish , {input\big2.txt : 1}>
<distressing , {input\big2.txt : 1}>
<distribute , {input\big2.txt : 1}>
<distribution , {input\big2.txt : 1}>
<distrust , {input\big2.txt : 1}>
<do , {input\big2.txt : 14}>
<doffing , {input\big2.txt : 1}>
<doing , {input\big2.txt : 1}>
<domestic , {input\big2.txt : 1}>
<done , {input\big2.txt : 3}>
<donets , {input\big2.txt : 1}>
<dont , {input\big2.txt : 11}>
<door , {input\big2.txt : 4}>
<doorpost , {input\big2.txt : 1}>
<doubted , {input\big2.txt : 1}>
<down , {input\big2.txt : 3}>
<downstairs , {input\big2.txt : 1}>
<dragged , {input\big2.txt : 1}>
<dron , {input\big2.txt : 19}>
<dronushka , {input\big2.txt : 7}>
<drooping , {input\big2.txt : 1}>
<dropped , {input\big2.txt : 2}>
<drowned , {input\big2.txt : 1}>
<dug , {input\big2.txt : 1}>
<dunyasha , {input\big2.txt : 8}>
<dunyashas , {input\big2.txt : 2}>
<dwelling , {input\big2.txt : 1}>
<dying , {input\big2.txt : 1}>
<early , {input\big2.txt : 1}>
<easy , {input\big2.txt : 1}>
<eating , {input\big2.txt : 1}>
<effect , {input\big2.txt : 1}>
<eh , {input\big2.txt : 1}>
<elder , {input\big2.txt : 1}>
<else , {input\big2.txt : 1}>
<emaciated , {input\big2.txt : 1}>
<emerged , {input\big2.txt : 1}>
<emotion , {input\big2.txt : 1}>
<empress , {input\big2.txt : 1}>
<enabling , {input\big2.txt : 1}>
<enemy , {input\big2.txt : 3}>
<engaged , {input\big2.txt : 1}>
<enough , {input\big2.txt : 1}>
<enter , {input\big2.txt : 2}>
<entered , {input\big2.txt : 1}>
<entering , {input\big2.txt : 1}>
<especially , {input\big2.txt : 1}>
<espied , {input\big2.txt : 1}>
<est , {input\big2.txt : 2}>
<estate , {input\big2.txt : 4}>
<even , {input\big2.txt : 4}>
<event , {input\big2.txt : 1}>
<ever , {input\big2.txt : 1}>
<every , {input\big2.txt : 3}>
<everything , {input\big2.txt : 5}>
<evidently , {input\big2.txt : 2}>
<excellency , {input\big2.txt : 3}>
<exclaimed , {input\big2.txt : 3}>
<expecting , {input\big2.txt : 1}>
<experienced , {input\big2.txt : 1}>
<expressing , {input\big2.txt : 1}>
<expression , {input\big2.txt : 6}>
<eye , {input\big2.txt : 5}>
<eyebrows , {input\big2.txt : 1}>
<eyes , {input\big2.txt : 6}>
<face , {input\big2.txt : 7}>
<faces , {input\big2.txt : 5}>
