<$4 , {input\big3.txt : 2}>
<1858 , {input\big3.txt : 1}>
<1888 , {input\big3.txt : 1}>
<1890 , {input\big3.txt : 1}>
<27 , {input\big3.txt : 1}>
<5:15 , {input\big3.txt : 1}>
<a , {input\big3.txt : 330}>
<abandoned , {input\big3.txt : 1}>
<abbots , {input\big3.txt : 1}>
<abhorrent , {input\big3.txt : 1}>
<able , {input\big3.txt : 8}>
<about , {input\big3.txt : 16}>
<above , {input\big3.txt : 3}>
<abruptly , {input\big3.txt : 1}>
<absolute , {input\big3.txt : 1}>
<absolutely , {input\big3.txt : 3}>
<absorb , {input\big3.txt : 1}>
<accent , {input\big3.txt : 1}>
<accomplice , {input\big3.txt : 1}>
<accomplished , {input\big3.txt : 1}>
<account , {input\big3.txt : 4}>
<accustomed , {input\big3.txt : 3}>
<acknowledges , {input\big3.txt : 1}>
<acquaintance , {input\big3.txt : 1}>
<across , {input\big3.txt : 4}>
<action , {input\big3.txt : 1}>
<actions , {input\big3.txt : 1}>
<active , {input\big3.txt : 1}>
<activity , {input\big3.txt : 1}>
<actor , {input\big3.txt : 1}>
<actress , {input\big3.txt : 1}>
<acute , {input\big3.txt : 1}>
<added , {input\big3.txt : 1}>
<addition , {input\big3.txt : 1}>
<address , {input\big3.txt : 8}>
<addressing , {input\big3.txt : 1}>
<adjusted , {input\big3.txt : 2}>
<adler , {input\big3.txt : 13}>
<admirable , {input\big3.txt : 2}>
<admirably , {input\big3.txt : 3}>
<admit , {input\big3.txt : 2}>
<adopted , {input\big3.txt : 1}>
<advantage , {input\big3.txt : 2}>
<advantages , {input\big3.txt : 1}>
<adventure , {input\big3.txt : 1}>
<adventures , {input\big3.txt : 1}>
<adventuress , {input\big3.txt : 1}>
<advertisement , {input\big3.txt : 9}>
<advise , {input\big3.txt : 1}>
<affair , {input\big3.txt : 2}>
<affairs , {input\big3.txt : 1}>
<affect , {input\big3.txt : 1}>
<afraid , {input\big3.txt : 1}>
<after , {input\big3.txt : 17}>
<afternoon , {input\big3.txt : 2}>
<afterwards , {input\big3.txt : 1}>
<again , {input\big3.txt : 7}>
<again; , {input\big3.txt : 1}>
<against , {input\big3.txt : 6}>
<age , {input\big3.txt : 3}>
<agent , {input\big3.txt : 4}>
<agitation , {input\big3.txt : 1}>
<ago , {input\big3.txt : 4}>
<ah , {input\big3.txt : 2}>
<air , {input\big3.txt : 3}>
<aisle , {input\big3.txt : 1}>
<akin , {input\big3.txt : 2}>
<alarm , {input\big3.txt : 4}>
<albert , {input\big3.txt : 1}>
<all , {input\big3.txt : 49}>
<all; , {input\big3.txt : 1}>
<almost , {input\big3.txt : 3}>
<alone , {input\big3.txt : 2}>
<aloud , {input\big3.txt : 1}>
<already , {input\big3.txt : 6}>
<also , {input\big3.txt : 5}>
<altar , {input\big3.txt : 3}>
<alternating , {input\big3.txt : 1}>
<altogether , {input\big3.txt : 2}>
<always , {input\big3.txt : 8}>
<am , {input\big3.txt : 33}>
<amazement , {input\big3.txt : 1}>
<amazing , {input\big3.txt : 1}>
<ambition , {input\big3.txt : 1}>
<american , {input\big3.txt : 2}>
<amiable , {input\big3.txt : 1}>
<amiss , {input\big3.txt : 1}>
<among , {input\big3.txt : 4}>
<amount , {input\big3.txt : 2}>
<an , {input\big3.txt : 46}>
<and , {input\big3.txt : 379}>
<animated , {input\big3.txt : 1}>
<announcement , {input\big3.txt : 1}>
<annoyance , {input\big3.txt : 1}>
<another , {input\big3.txt : 7}>
<answer , {input\big3.txt : 1}>
<answered , {input\big3.txt : 10}>
<antagonist; , {input\big3.txt : 1}>
<anxiety , {input\big3.txt : 1}>
<anxious , {input\big3.txt : 1}>
<any , {input\big3.txt : 11}>
<anyhow , {input\big3.txt : 1}>
<anyone , {input\big3.txt : 2}>
<anything , {input\big3.txt : 7}>
<apart , {input\big3.txt : 1}>
<apiece , {input\big3.txt : 1}>
<apology , {input\big3.txt : 1}>
<apparent , {input\big3.txt : 1}>
<apparently , {input\big3.txt : 1}>
<appearance , {input\big3.txt : 4}>
<appeared , {input\big3.txt : 4}>
<appears , {input\big3.txt : 1}>
<apply , {input\big3.txt : 5}>
<applying , {input\big3.txt : 1}>
<april , {input\big3.txt : 1}>
<aquiline , {input\big3.txt : 1}>
<arc , {input\big3.txt : 1}>
<archery , {input\big3.txt : 1}>
<architecture , {input\big3.txt : 1}>
<are , {input\big3.txt : 36}>
<arm , {input\big3.txt : 1}>
<armchair , {input\big3.txt : 5}>
<armour , {input\big3.txt : 1}>
<arms , {input\big3.txt : 1}>
<arnsworth , {input\big3.txt : 1}>
<around , {input\big3.txt : 1}>
<arranged , {input\big3.txt : 1}>
<arrangements , {input\big3.txt : 1}>
<arrest , {input\big3.txt : 1}>
<arrived , {input\big3.txt : 1}>
<as , {input\big3.txt : 103}>
<ashamed , {input\big3.txt : 1}>
<ask , {input\big3.txt : 1}>
<asked , {input\big3.txt : 14}>
<asks , {input\big3.txt : 1}>
<assistant , {input\big3.txt : 5}>
<assistants , {input\big3.txt : 1}>
<assisting , {input\big3.txt : 1}>
<associated , {input\big3.txt : 2}>
<assumed , {input\big3.txt : 1}>
<assuring , {input\big3.txt : 1}>
<astrakhan , {input\big3.txt : 1}>
<at , {input\big3.txt : 85}>
<atkinson , {input\big3.txt : 1}>
<attempt , {input\big3.txt : 2}>
<attempts , {input\big3.txt : 2}>
<attend , {input\big3.txt : 1}>
<attention , {input\big3.txt : 3}>
<attica , {input\big3.txt : 1}>
<attitude , {input\big3.txt : 1}>
<attracted , {input\big3.txt : 1}>
<august , {input\big3.txt : 1}>
<authenticity , {input\big3.txt : 1}>
<authoritative , {input\big3.txt : 1}>
<autumn , {input\big3.txt : 1}>
<avail , {input\big3.txt : 1}>
<avenue , {input\big3.txt : 4}>
<average , {input\big3.txt : 1}>
<averse , {input\big3.txt : 1}>
<awaiting , {input\big3.txt : 1}>
<aware , {input\big3.txt : 3}>
<away , {input\big3.txt : 10}>
<awkward , {input\big3.txt : 1}>
<baby; , {input\big3.txt : 1}>
<bachelor , {input\big3.txt : 2}>
<back , {input\big3.txt : 10}>
<backward , {input\big3.txt : 1}>
<bad , {input\big3.txt : 2}>
<bade , {input\big3.txt : 1}>
<baffled , {input\big3.txt : 1}>
<bag , {input\big3.txt : 1}>
<baggy , {input\big3.txt : 2}>
<baker , {input\big3.txt : 6}>
<balanced , {input\big3.txt : 1}>
<balancing , {input\big3.txt : 2}>
<bands , {input\big3.txt : 1}>
<banker , {input\big3.txt : 1}>
<barbaric , {input\big3.txt : 1}>
<barrow , {input\big3.txt : 1}>
<bashful , {input\big3.txt : 1}>
<be , {input\big3.txt : 82}>
<beamed , {input\big3.txt : 1}>
<bear , {input\big3.txt : 1}>
<beaten , {input\big3.txt : 2}>
<beauties , {input\big3.txt : 1}>
<beautiful , {input\big3.txt : 2}>
<beautifully , {input\big3.txt : 1}>
<became , {input\big3.txt : 4}>
<because , {input\big3.txt : 5}>
<becomes , {input\big3.txt : 2}>
<bedroom , {input\big3.txt : 3}>
<bedtime , {input\big3.txt : 1}>
<beef , {input\big3.txt : 1}>
<been , {input\big3.txt : 41}>
<beer , {input\big3.txt : 1}>
<before , {input\big3.txt : 17}>
<began , {input\big3.txt : 4}>
<begin , {input\big3.txt : 3}>
<begins , {input\big3.txt : 1}>
<behind , {input\big3.txt : 6}>
<being , {input\big3.txt : 5}>
<belief , {input\big3.txt : 2}>
<believe , {input\big3.txt : 2}>
<bell , {input\big3.txt : 5}>
<below , {input\big3.txt : 1}>
<benefactor , {input\big3.txt : 1}>
<benevolent , {input\big3.txt : 1}>
<bequest , {input\big3.txt : 1}>
<berths , {input\big3.txt : 1}>
<beryl , {input\big3.txt : 1}>
<beside , {input\big3.txt : 2}>
<besides , {input\big3.txt : 3}>
<best , {input\big3.txt : 5}>
<betrayed , {input\big3.txt : 1}>
<betrothal , {input\big3.txt : 1}>
<better , {input\big3.txt : 7}>
<between , {input\big3.txt : 4}>
<beyond , {input\big3.txt : 2}>
<bijou , {input\big3.txt : 1}>
<billet , {input\big3.txt : 2}>
<binding , {input\big3.txt : 1}>
<biographies , {input\big3.txt : 1}>
<biography , {input\big3.txt : 1}>
<bit , {input\big3.txt : 4}>
<bizarre , {input\big3.txt : 1}>
<black , {input\big3.txt : 4}>
<blackest , {input\big3.txt : 1}>
<blackmailing , {input\big3.txt : 1}>
<blanche , {input\big3.txt : 1}>
<blazing , {input\big3.txt : 2}>
<blind , {input\big3.txt : 1}>
<blinds , {input\big3.txt : 1}>
<blood , {input\big3.txt : 1}>
<blotting , {input\big3.txt : 1}>
<blow , {input\big3.txt : 1}>
<blue , {input\big3.txt : 2}>
<bob , {input\big3.txt : 1}>
<body , {input\big3.txt : 1}>
<bohemia , {input\big3.txt : 7}>
<bohemian , {input\big3.txt : 3}>
<bonnet , {input\big3.txt : 1}>
<book , {input\big3.txt : 1}>
<books , {input\big3.txt : 1}>
<boot , {input\big3.txt : 1}>
<boots , {input\big3.txt : 1}>
<bore , {input\big3.txt : 2}>
<born , {input\big3.txt : 1}>
<borne , {input\big3.txt : 1}>
<boswell , {input\big3.txt : 1}>
<both , {input\big3.txt : 6}>
<bottle , {input\big3.txt : 1}>
<bought , {input\big3.txt : 4}>
<bound , {input\big3.txt : 1}>
<bowed , {input\big3.txt : 2}>
<box , {input\big3.txt : 1}>
<boy , {input\big3.txt : 1}>
<brassy , {input\big3.txt : 1}>
<brave , {input\big3.txt : 1}>
<breaking , {input\big3.txt : 1}>
<breaks , {input\big3.txt : 1}>
<breasted , {input\big3.txt : 1}>
<breastpin , {input\big3.txt : 1}>
<breathing , {input\big3.txt : 1}>
<brick , {input\big3.txt : 1}>
<bride , {input\big3.txt : 1}>
<bridegroom , {input\big3.txt : 1}>
<briefly , {input\big3.txt : 1}>
<bright , {input\big3.txt : 1}>
<brilliantly , {input\big3.txt : 1}>
<brimmed , {input\big3.txt : 1}>
<bring , {input\big3.txt : 4}>
<briony , {input\big3.txt : 11}>
<britannica , {input\big3.txt : 2}>
<british , {input\big3.txt : 1}>
<broad , {input\big3.txt : 3}>
<broke , {input\big3.txt : 2}>
<broken , {input\big3.txt : 1}>
<brooch , {input\big3.txt : 1}>
<brothers , {input\big3.txt : 1}>
<brougham , {input\big3.txt : 4}>
<brought , {input\big3.txt : 3}>
<brown , {input\big3.txt : 3}>
<brushed , {input\big3.txt : 1}>
<bs , {input\big3.txt : 1}>
<buckles , {input\big3.txt : 1}>
<budge , {input\big3.txt : 1}>
<building , {input\big3.txt : 1}>
<built , {input\big3.txt : 1}>
<bulge , {input\big3.txt : 1}>
<burglars , {input\big3.txt : 1}>
<burgled , {input\big3.txt : 1}>
<buried , {input\big3.txt : 1}>
<burned , {input\big3.txt : 1}>
<busier , {input\big3.txt : 1}>
<business , {input\big3.txt : 13}>
<busy , {input\big3.txt : 1}>
<but , {input\big3.txt : 81}>
<butted , {input\big3.txt : 1}>
<buttoned , {input\big3.txt : 1}>
<by , {input\big3.txt : 46}>
<bye , {input\big3.txt : 1}>
<cab , {input\big3.txt : 5}>
<cabby , {input\big3.txt : 1}>
<cabinet , {input\big3.txt : 2}>
<cabman , {input\big3.txt : 2}>
<call , {input\big3.txt : 11}>
<called , {input\big3.txt : 3}>
<calls , {input\big3.txt : 1}>
<calves , {input\big3.txt : 1}>
<came , {input\big3.txt : 14}>
<camera , {input\big3.txt : 1}>
<campaign , {input\big3.txt : 1}>
<can , {input\big3.txt : 14}>
<candid , {input\big3.txt : 1}>
<candidate , {input\big3.txt : 1}>
<cannot , {input\big3.txt : 1}>
<cant , {input\big3.txt : 3}>
<cap , {input\big3.txt : 1}>
<capable , {input\big3.txt : 1}>
<capital , {input\big3.txt : 1}>
<cardboard , {input\big3.txt : 1}>
<care , {input\big3.txt : 2}>
<cared , {input\big3.txt : 1}>
<careful , {input\big3.txt : 1}>
<carefully , {input\big3.txt : 1}>
<careless , {input\big3.txt : 1}>
<carelessly , {input\big3.txt : 1}>
<carlsbad , {input\big3.txt : 1}>
<carpenter , {input\big3.txt : 1}>
<carriage , {input\big3.txt : 3}>
<carried , {input\big3.txt : 2}>
<carries , {input\big3.txt : 1}>
<carry , {input\big3.txt : 2}>
<carte , {input\big3.txt : 1}>
<case , {input\big3.txt : 10}>
<cases , {input\big3.txt : 4}>
<cassel , {input\big3.txt : 1}>
<castle , {input\big3.txt : 1}>
<catch , {input\big3.txt : 1}>
<caught , {input\big3.txt : 4}>
<cause , {input\big3.txt : 2}>
<caused , {input\big3.txt : 1}>
<ceased , {input\big3.txt : 1}>
<celebrated , {input\big3.txt : 1}>
<cellar , {input\big3.txt : 1}>
<centre , {input\big3.txt : 1}>
<centred , {input\big3.txt : 1}>
<centuries , {input\big3.txt : 1}>
<certain , {input\big3.txt : 1}>
<certainly , {input\big3.txt : 6}>
<certificates , {input\big3.txt : 1}>
<chagrin , {input\big3.txt : 2}>
<chain , {input\big3.txt : 3}>
<chair , {input\big3.txt : 8}>
<chairs , {input\big3.txt : 1}>
<chamber , {input\big3.txt : 2}>
<chambers , {input\big3.txt : 2}>
<chamois , {input\big3.txt : 1}>
<chance , {input\big3.txt : 3}>
<chances , {input\big3.txt : 1}>
<change , {input\big3.txt : 2}>
<changed , {input\big3.txt : 2}>
<character , {input\big3.txt : 4}>
<charing , {input\big3.txt : 1}>
<chat , {input\big3.txt : 1}>
<check , {input\big3.txt : 1}>
<cheekbones , {input\big3.txt : 1}>
<cheer , {input\big3.txt : 1}>
<chest , {input\big3.txt : 3}>
<child , {input\big3.txt : 1}>
<chin , {input\big3.txt : 1}>
<china , {input\big3.txt : 4}>
<chinese , {input\big3.txt : 1}>
<choked , {input\big3.txt : 2}>
<chronicle , {input\big3.txt : 3}>
<chubb , {input\big3.txt : 1}>
<chuckled , {input\big3.txt : 2}>
<church , {input\big3.txt : 6}>
<cigar , {input\big3.txt : 1}>
<cigarette , {input\big3.txt : 2}>
<cigars , {input\big3.txt : 2}>
<circumstances , {input\big3.txt : 1}>
<city , {input\big3.txt : 2}>
<civil , {input\big3.txt : 1}>
<clapped , {input\big3.txt : 1}>
<clasped , {input\big3.txt : 1}>
<clay; , {input\big3.txt : 1}>
<clean , {input\big3.txt : 2}>
<clear , {input\big3.txt : 7}>
<clearing , {input\big3.txt : 2}>
<clergyman , {input\big3.txt : 5}>
<clever , {input\big3.txt : 1}>
<cleverness , {input\big3.txt : 1}>
<client , {input\big3.txt : 8}>
<cloak , {input\big3.txt : 2}>
<close , {input\big3.txt : 2}>
<closed , {input\big3.txt : 2}>
<closely , {input\big3.txt : 2}>
<closing , {input\big3.txt : 1}>
<clothes , {input\big3.txt : 3}>
<clotilde , {input\big3.txt : 1}>
<cloud , {input\big3.txt : 1}>
<clouds , {input\big3.txt : 1}>
<clues , {input\big3.txt : 1}>
<clumsy , {input\big3.txt : 1}>
<co , {input\big3.txt : 2}>
<coach , {input\big3.txt : 1}>
<coachman , {input\big3.txt : 3}>
<coat , {input\big3.txt : 3}>
<cobblers , {input\big3.txt : 1}>
<coburg , {input\big3.txt : 1}>
<cocaine , {input\big3.txt : 1}>
<cocked , {input\big3.txt : 1}>
<coffee , {input\big3.txt : 1}>
<coin , {input\big3.txt : 1}>
<cold , {input\big3.txt : 2}>
<coldly , {input\big3.txt : 1}>
<collar , {input\big3.txt : 1}>
<colleague , {input\big3.txt : 1}>
<colour , {input\big3.txt : 3}>
<coloured , {input\big3.txt : 2}>
<column , {input\big3.txt : 2}>
<combinations , {input\big3.txt : 1}>
<come , {input\big3.txt : 17}>
<comes , {input\big3.txt : 4}>
<comfortable , {input\big3.txt : 1}>
<coming , {input\big3.txt : 4}>
<commander , {input\big3.txt : 1}>
<committed , {input\big3.txt : 2}>
<common , {input\big3.txt : 1}>
<commonplace , {input\big3.txt : 1}>
<communicate , {input\big3.txt : 1}>
<companion , {input\big3.txt : 4}>
<companions , {input\big3.txt : 1}>
<company , {input\big3.txt : 2}>
<compass , {input\big3.txt : 1}>
<compelled , {input\big3.txt : 2}>
<competition , {input\big3.txt : 1}>
<complete , {input\big3.txt : 2}>
<completed , {input\big3.txt : 1}>
<completely , {input\big3.txt : 1}>
<complimented , {input\big3.txt : 1}>
<comply , {input\big3.txt : 1}>
<compromise , {input\big3.txt : 1}>
<compromised , {input\big3.txt : 1}>
<compromising , {input\big3.txt : 1}>
<compunction , {input\big3.txt : 1}>
<conceal , {input\big3.txt : 1}>
<concealment , {input\big3.txt : 1}>
<concerning , {input\big3.txt : 1}>
<concerts , {input\big3.txt : 1}>
<conclusion , {input\big3.txt : 1}>
<condescend , {input\big3.txt : 1}>
<conditions , {input\big3.txt : 1}>
<conduct , {input\big3.txt : 1}>
<confess , {input\big3.txt : 1}>
<confidant , {input\big3.txt : 1}>
<confide , {input\big3.txt : 1}>
<confined , {input\big3.txt : 2}>
<congratulate , {input\big3.txt : 1}>
<congratulated , {input\big3.txt : 1}>
<connected , {input\big3.txt : 1}>
<considerable , {input\big3.txt : 1}>
<consisted , {input\big3.txt : 1}>
<conspiring , {input\big3.txt : 1}>
<construction , {input\big3.txt : 1}>
<consult , {input\big3.txt : 2}>
<consulting , {input\big3.txt : 1}>
<continent , {input\big3.txt : 1}>
<continental , {input\big3.txt : 1}>
<continue , {input\big3.txt : 2}>
<continued , {input\big3.txt : 2}>
<contraction , {input\big3.txt : 1}>
<contralto , {input\big3.txt : 1}>
<contrary , {input\big3.txt : 2}>
<contributed , {input\big3.txt : 1}>
<conventions , {input\big3.txt : 1}>
<conversation , {input\big3.txt : 1}>
<conveyed , {input\big3.txt : 1}>
<cooking , {input\big3.txt : 1}>
<copper , {input\big3.txt : 1}>
<copy , {input\big3.txt : 1}>
