<becomes , {input\big4.txt : 1}>
<becoming , {input\big4.txt : 1}>
<bed , {input\big4.txt : 2}>
<beech , {input\big4.txt : 1}>
<been , {input\big4.txt : 45}>
<before , {input\big4.txt : 19}>
<beg , {input\big4.txt : 1}>
<began , {input\big4.txt : 1}>
<begged , {input\big4.txt : 1}>
<begin , {input\big4.txt : 1}>
<beginning , {input\big4.txt : 1}>
<beginnings , {input\big4.txt : 1}>
<begun , {input\big4.txt : 2}>
<behind , {input\big4.txt : 8}>
<being , {input\big4.txt : 4}>
<bell , {input\big4.txt : 2}>
<belonged , {input\big4.txt : 1}>
<belt , {input\big4.txt : 1}>
<beneath , {input\big4.txt : 2}>
<benefactor , {input\big4.txt : 1}>
<bent , {input\big4.txt : 1}>
<bermuda , {input\big4.txt : 1}>
<beside , {input\big4.txt : 2}>
<best , {input\big4.txt : 3}>
<better , {input\big4.txt : 1}>
<between , {input\big4.txt : 11}>
<bicycling , {input\big4.txt : 1}>
<bills , {input\big4.txt : 1}>
<bit , {input\big4.txt : 1}>
<bitten , {input\big4.txt : 1}>
<bitter , {input\big4.txt : 1}>
<black , {input\big4.txt : 5}>
<blasted , {input\big4.txt : 1}>
<blaze , {input\big4.txt : 1}>
<blend , {input\big4.txt : 1}>
<bless , {input\big4.txt : 1}>
<blinds , {input\big4.txt : 1}>
<blood , {input\big4.txt : 1}>
<blooded , {input\big4.txt : 1}>
<blotches , {input\big4.txt : 1}>
<blow , {input\big4.txt : 6}>
<blows , {input\big4.txt : 1}>
<blue , {input\big4.txt : 1}>
<blunt , {input\big4.txt : 3}>
<blush , {input\big4.txt : 1}>
<boarding , {input\big4.txt : 1}>
<body , {input\big4.txt : 4}>
<bond , {input\big4.txt : 1}>
<bone , {input\big4.txt : 2}>
<books , {input\big4.txt : 1}>
<boot , {input\big4.txt : 1}>
<boots , {input\big4.txt : 5}>
<borne , {input\big4.txt : 1}>
<boscombe , {input\big4.txt : 6}>
<both , {input\big4.txt : 5}>
<bought , {input\big4.txt : 1}>
<bound , {input\big4.txt : 1}>
<boundary , {input\big4.txt : 1}>
<bounded , {input\big4.txt : 1}>
<bowed , {input\big4.txt : 2}>
<box , {input\big4.txt : 4}>
<boy , {input\big4.txt : 1}>
<boys , {input\big4.txt : 2}>
<brains , {input\big4.txt : 1}>
<brandy , {input\big4.txt : 1}>
<brass , {input\big4.txt : 3}>
<brave , {input\big4.txt : 1}>
<braved , {input\big4.txt : 1}>
<brazen , {input\big4.txt : 1}>
<break , {input\big4.txt : 2}>
<breakfast , {input\big4.txt : 2}>
<bright , {input\big4.txt : 1}>
<brighter , {input\big4.txt : 1}>
<brightly , {input\big4.txt : 1}>
<bring , {input\big4.txt : 1}>
<bringing , {input\big4.txt : 1}>
<bristol , {input\big4.txt : 6}>
<british , {input\big4.txt : 2}>
<broad , {input\big4.txt : 1}>
<broke , {input\big4.txt : 1}>
<broken , {input\big4.txt : 1}>
<brother , {input\big4.txt : 3}>
<brought , {input\big4.txt : 4}>
<brown , {input\big4.txt : 1}>
<brows , {input\big4.txt : 1}>
<buffalo , {input\big4.txt : 1}>
<building , {input\big4.txt : 1}>
<bull , {input\big4.txt : 1}>
<bundle , {input\big4.txt : 2}>
<bundles , {input\big4.txt : 1}>
<buried , {input\big4.txt : 1}>
<burned , {input\big4.txt : 1}>
<burning , {input\big4.txt : 1}>
<burst , {input\big4.txt : 1}>
<bush , {input\big4.txt : 1}>
<business , {input\big4.txt : 3}>
<busy , {input\big4.txt : 1}>
<but , {input\big4.txt : 69}>
<butt , {input\big4.txt : 1}>
<by , {input\big4.txt : 31}>
<bye , {input\big4.txt : 2}>
<cab , {input\big4.txt : 2}>
<cage , {input\big4.txt : 1}>
<calamity , {input\big4.txt : 1}>
<call , {input\big4.txt : 5}>
<called , {input\big4.txt : 5}>
<calls , {input\big4.txt : 1}>
<calmly , {input\big4.txt : 1}>
<camberwell , {input\big4.txt : 1}>
<came , {input\big4.txt : 14}>
<can , {input\big4.txt : 12}>
<cannot , {input\big4.txt : 5}>
<cant , {input\big4.txt : 3}>
<caps , {input\big4.txt : 1}>
<cards , {input\big4.txt : 1}>
<careful , {input\big4.txt : 1}>
<carefully , {input\big4.txt : 4}>
<carpet , {input\big4.txt : 1}>
<carriage , {input\big4.txt : 6}>
<carries , {input\big4.txt : 1}>
<carry , {input\big4.txt : 1}>
<carrying , {input\big4.txt : 1}>
<case , {input\big4.txt : 14}>
<caseful , {input\big4.txt : 1}>
<cases , {input\big4.txt : 2}>
<cashbox , {input\big4.txt : 1}>
<catch , {input\big4.txt : 1}>
<caught , {input\big4.txt : 2}>
<cause , {input\big4.txt : 1}>
<caused , {input\big4.txt : 1}>
<causes , {input\big4.txt : 1}>
<certain , {input\big4.txt : 1}>
<certainly , {input\big4.txt : 3}>
<certainty , {input\big4.txt : 1}>
<chain , {input\big4.txt : 1}>
<chair , {input\big4.txt : 4}>
<chalk , {input\big4.txt : 3}>
<chamber , {input\big4.txt : 2}>
<chance , {input\big4.txt : 2}>
<chanced , {input\big4.txt : 1}>
<change , {input\big4.txt : 1}>
<chap , {input\big4.txt : 1}>
<character , {input\big4.txt : 1}>
<charge , {input\big4.txt : 1}>
<charming , {input\big4.txt : 1}>
<chase , {input\big4.txt : 1}>
<cheating , {input\big4.txt : 1}>
<checkmate , {input\big4.txt : 1}>
<cheeks , {input\big4.txt : 1}>
<child , {input\big4.txt : 1}>
<children , {input\big4.txt : 1}>
<chimney , {input\big4.txt : 1}>
<chimneys , {input\big4.txt : 1}>
<choose , {input\big4.txt : 1}>
<chronic , {input\big4.txt : 1}>
<cigar , {input\big4.txt : 8}>
<cigarette , {input\big4.txt : 1}>
<cigarettes , {input\big4.txt : 1}>
<cigars , {input\big4.txt : 1}>
<circumstances , {input\big4.txt : 1}>
<civilisation , {input\big4.txt : 1}>
<civilised , {input\big4.txt : 1}>
<clad , {input\big4.txt : 1}>
<claim , {input\big4.txt : 1}>
<clark , {input\big4.txt : 1}>
<clay , {input\big4.txt : 1}>
<clean , {input\big4.txt : 1}>
<clear , {input\big4.txt : 4}>
<cleared , {input\big4.txt : 3}>
<clearing , {input\big4.txt : 2}>
<clearly , {input\big4.txt : 1}>
<client , {input\big4.txt : 1}>
<cloak , {input\big4.txt : 4}>
<close , {input\big4.txt : 1}>
<cloth , {input\big4.txt : 3}>
<cloud , {input\big4.txt : 2}>
<cloudless , {input\big4.txt : 1}>
<club , {input\big4.txt : 2}>
<clutches , {input\big4.txt : 2}>
<coat , {input\big4.txt : 3}>
<cobb , {input\big4.txt : 1}>
<cock , {input\big4.txt : 1}>
<cocksure , {input\big4.txt : 1}>
<cold , {input\big4.txt : 2}>
<colleague , {input\big4.txt : 1}>
<collection , {input\big4.txt : 1}>
<colonel , {input\big4.txt : 3}>
<colonels , {input\big4.txt : 1}>
<colony , {input\big4.txt : 2}>
<colour , {input\big4.txt : 2}>
<column , {input\big4.txt : 1}>
<combined , {input\big4.txt : 1}>
<come , {input\big4.txt : 22}>
<comely , {input\big4.txt : 1}>
<comes , {input\big4.txt : 1}>
<comfort , {input\big4.txt : 1}>
<comfortable , {input\big4.txt : 1}>
<coming , {input\big4.txt : 2}>
<command , {input\big4.txt : 1}>
<commence , {input\big4.txt : 1}>
<commencement , {input\big4.txt : 2}>
<common , {input\big4.txt : 2}>
<commonly , {input\big4.txt : 1}>
<companion , {input\big4.txt : 4}>
<companions , {input\big4.txt : 1}>
<compared , {input\big4.txt : 2}>
<competence , {input\big4.txt : 1}>
<completely , {input\big4.txt : 1}>
<complimentary , {input\big4.txt : 1}>
<compressed , {input\big4.txt : 1}>
<compunction , {input\big4.txt : 1}>
<concentrated , {input\big4.txt : 1}>
<conception , {input\big4.txt : 1}>
<concern , {input\big4.txt : 1}>
<concerned , {input\big4.txt : 2}>
<concluded , {input\big4.txt : 1}>
<concluding , {input\big4.txt : 1}>
<conclusion , {input\big4.txt : 1}>
<conclusions , {input\big4.txt : 2}>
<condemned , {input\big4.txt : 1}>
<confession , {input\big4.txt : 2}>
<confusion: , {input\big4.txt : 1}>
<conjecture , {input\big4.txt : 2}>
<connected , {input\big4.txt : 2}>
<connection , {input\big4.txt : 1}>
<consciousness , {input\big4.txt : 2}>
<considerable , {input\big4.txt : 3}>
<considerably , {input\big4.txt : 2}>
<consideration , {input\big4.txt : 1}>
<considering , {input\big4.txt : 1}>
<consoled , {input\big4.txt : 1}>
<constitution , {input\big4.txt : 1}>
<contained , {input\big4.txt : 1}>
<contemptuous , {input\big4.txt : 1}>
<contents , {input\big4.txt : 1}>
<continually , {input\big4.txt : 1}>
<contrary , {input\big4.txt : 1}>
<conversation , {input\big4.txt : 2}>
<conveyed , {input\big4.txt : 1}>
<conviction , {input\big4.txt : 2}>
<convinced , {input\big4.txt : 2}>
<convoy , {input\big4.txt : 1}>
<cooee , {input\big4.txt : 7}>
<cooped , {input\big4.txt : 1}>
<copy , {input\big4.txt : 1}>
<cord , {input\big4.txt : 1}>
<corner , {input\big4.txt : 1}>
<corners , {input\big4.txt : 1}>
<coroner , {input\big4.txt : 3}>
<coroner: , {input\big4.txt : 8}>
<correct , {input\big4.txt : 1}>
<corresponds , {input\big4.txt : 1}>
<could , {input\big4.txt : 34}>
<counsel , {input\big4.txt : 1}>
<country , {input\big4.txt : 6}>
<county , {input\big4.txt : 1}>
<couple , {input\big4.txt : 1}>
<courage , {input\big4.txt : 1}>
<course , {input\big4.txt : 4}>
<court , {input\big4.txt : 4}>
<coventry , {input\big4.txt : 1}>
<cover , {input\big4.txt : 2}>
<covered , {input\big4.txt : 1}>
<craggy , {input\big4.txt : 1}>
<credit , {input\big4.txt : 2}>
<cried , {input\big4.txt : 7}>
<crime , {input\big4.txt : 2}>
<criminal , {input\big4.txt : 2}>
<crony , {input\big4.txt : 1}>
<cross , {input\big4.txt : 1}>
<crowder , {input\big4.txt : 1}>
<crucial , {input\big4.txt : 1}>
<cruel , {input\big4.txt : 1}>
<cry , {input\big4.txt : 9}>
<cudgelled , {input\big4.txt : 1}>
<culprit , {input\big4.txt : 1}>
<cunning , {input\big4.txt : 1}>
<cup , {input\big4.txt : 1}>
<curiosity , {input\big4.txt : 1}>
<curse , {input\big4.txt : 1}>
<cursed , {input\big4.txt : 1}>
<cushioned , {input\big4.txt : 1}>
<cut , {input\big4.txt : 3}>
<dad , {input\big4.txt : 2}>
<damp , {input\big4.txt : 1}>
<danger , {input\big4.txt : 2}>
<darkened , {input\big4.txt : 1}>
<date , {input\big4.txt : 4}>
<daughter , {input\big4.txt : 5}>
<day , {input\big4.txt : 11}>
<days , {input\big4.txt : 6}>
<dead , {input\big4.txt : 4}>
<dead; , {input\big4.txt : 1}>
<deadliest , {input\big4.txt : 1}>
<deadly , {input\big4.txt : 2}>
<deal , {input\big4.txt : 2}>
<dear , {input\big4.txt : 4}>
<death , {input\big4.txt : 7}>
<deathbeds , {input\big4.txt : 1}>
<deceased , {input\big4.txt : 2}>
<decide , {input\big4.txt : 1}>
<decrepitude , {input\big4.txt : 1}>
<deduce , {input\big4.txt : 1}>
<deduced , {input\big4.txt : 1}>
<deduction , {input\big4.txt : 1}>
<deductions , {input\big4.txt : 1}>
<deed , {input\big4.txt : 1}>
<deep , {input\big4.txt : 5}>
<deepest , {input\big4.txt : 1}>
<deeply , {input\big4.txt : 2}>
<defending , {input\big4.txt : 1}>
<deference , {input\big4.txt : 1}>
<defiantly , {input\big4.txt : 1}>
<definite , {input\big4.txt : 3}>
<degree , {input\big4.txt : 1}>
<delicacy , {input\big4.txt : 1}>
<delirious , {input\big4.txt : 2}>
<delirium , {input\big4.txt : 1}>
<demurely; , {input\big4.txt : 1}>
<dependent , {input\big4.txt : 1}>
<depends , {input\big4.txt : 1}>
<deposition , {input\big4.txt : 1}>
<descend , {input\big4.txt : 1}>
<describe , {input\big4.txt : 2}>
<desired , {input\big4.txt : 1}>
<despair , {input\big4.txt : 1}>
<despaired , {input\big4.txt : 1}>
<desperate , {input\big4.txt : 1}>
<destroyed , {input\big4.txt : 3}>
<details , {input\big4.txt : 5}>
<detective , {input\big4.txt : 1}>
<determined , {input\big4.txt : 1}>
<detour , {input\big4.txt : 1}>
<devil , {input\big4.txt : 2}>
<devoted , {input\big4.txt : 1}>
<diabetes , {input\big4.txt : 1}>
<did , {input\big4.txt : 21}>
<didnt , {input\big4.txt : 3}>
<die , {input\big4.txt : 1}>
<died , {input\big4.txt : 2}>
<different , {input\big4.txt : 2}>
<difficult , {input\big4.txt : 2}>
<difficulty , {input\big4.txt : 1}>
<diggings , {input\big4.txt : 2}>
<dignity , {input\big4.txt : 2}>
<dilate , {input\big4.txt : 1}>
<directed , {input\big4.txt : 2}>
<direction , {input\big4.txt : 3}>
<disadvantages , {input\big4.txt : 1}>
<disagreements , {input\big4.txt : 1}>
<disappeared , {input\big4.txt : 1}>
<disappoint , {input\big4.txt : 1}>
<discovered , {input\big4.txt : 1}>
<discrepancy , {input\big4.txt : 1}>
<disease , {input\big4.txt : 1}>
<dislike , {input\big4.txt : 2}>
<dispose , {input\big4.txt : 1}>
<disposition , {input\big4.txt : 1}>
<distinct , {input\big4.txt : 1}>
<distinctive , {input\big4.txt : 1}>
